gene	transcript	type	TSS	PolyA	strand
gene-LOC101929348	rna-XR_007089848.1	lnc_RNA	9662908	9669797	+
gene-PARAL1	rna-NR_109861.1	lnc_RNA	10029211	10049982	+
gene-SNAP25-AS1	rna-NR_040710.1	lnc_RNA	10262370	10066694	-
gene-ANKEF1	rna-XM_054323821.1	mRNA	10077860	10101160	+
gene-LOC105372524	rna-NR_187929.1	lnc_RNA	10215288	10243691	+
gene-LOC105372524	rna-NR_187931.1	lnc_RNA	10215288	10242609	+
gene-SNAP25	rna-NM_001424416.1	mRNA	10261694	10350291	+
gene-SNAP25	rna-NM_001322902.2	mRNA	10261820	10350291	+
gene-MKKS	rna-NM_170784.3	mRNA	10477225	10444019	-
gene-MKKS	rna-NM_018848.3	mRNA	10474928	10447790	-
gene-LOC128706666	rna-NM_001394149.2	mRNA	10477225	10456717	-
gene-LOC128706665	rna-NM_001394148.2	mRNA	10477225	10456717	-
gene-SLX4IP	rna-XM_054322966.1	mRNA	10478113	10671151	+
gene-SLX4IP	rna-NM_001009608.3	mRNA	10478308	10671043	+
gene-SLX4IP	rna-XM_054322967.1	mRNA	10641496	10671151	+
gene-JAG1	rna-NM_000214.3	mRNA	10717016	10680697	-
gene-LINC01752	rna-NR_110611.1	lnc_RNA	10796103	10797040	+
gene-LOC101929413	rna-NR_109866.1	lnc_RNA	10952290	10918334	-
gene-LINC02871	rna-NR_146878.1	lnc_RNA	11070168	11073007	+
gene-LOC105372527	rna-XR_007089852.1	lnc_RNA	11200488	11202869	+
gene-LOC105372527	rna-XR_007089853.1	lnc_RNA	11201134	11202869	+
gene-LOC105372528	rna-XR_007089854.1	lnc_RNA	11222102	11216902	-
gene-LOC339593	rna-NR_038972.1	lnc_RNA	11317028	11310304	-
gene-LOC105372529	rna-XR_007089855.1	lnc_RNA	11470953	11353463	-
gene-LOC107985384	rna-XR_007089859.1	lnc_RNA	11730665	11729617	-
gene-LOC105372530	rna-XR_007089392.1	lnc_RNA	11772155	11755753	-
gene-LOC105372530	rna-XR_007089393.1	lnc_RNA	11772164	11760074	-
gene-LINC00687	rna-NR_110635.1	lnc_RNA	11914007	11853282	-
gene-BTBD3	rna-NM_001395005.1	mRNA	11934109	11969887	+
gene-BTBD3	rna-NM_001395006.1	mRNA	11934296	11969887	+
gene-BTBD3	rna-XM_054323198.1	mRNA	11935785	11969887	+
gene-BTBD3	rna-NM_014962.4	mRNA	11961185	11969887	+
gene-BTBD3-AS1	rna-NR_186407.1	lnc_RNA	11961893	11952696	-
gene-LOC107985406	rna-XR_007089400.1	lnc_RNA	12290717	12288955	-
gene-LOC107985406	rna-XR_007089399.1	lnc_RNA	12290433	12288955	-
gene-LOC124904870	rna-XR_007089401.1	lnc_RNA	12436195	12417152	-
gene-LOC107985407	rna-XR_007089402.1	lnc_RNA	12548643	12558591	+
gene-LOC105372532	rna-XR_007089407.1	lnc_RNA	12716587	12694585	-
gene-LOC105372532	rna-XR_007089404.1	lnc_RNA	12716570	12694810	-
gene-LOC105372532	rna-XR_007089406.1	lnc_RNA	12716566	12694810	-
gene-LOC105372532	rna-XR_007089405.1	lnc_RNA	12716570	12694816	-
gene-LINC01722	rna-NR_109868.1	lnc_RNA	12995931	12908605	-
gene-LOC102606466	rna-NR_109872.1	lnc_RNA	12980374	12978288	-
gene-LOC105372535	rna-XR_007089410.1	lnc_RNA	12979222	12984310	+
gene-LOC105372535	rna-XR_007089408.1	lnc_RNA	12979222	12983021	+
gene-LOC105372535	rna-XR_007089409.1	lnc_RNA	12979222	12981879	+
gene-LINC01723	rna-NR_109870.1	lnc_RNA	12993749	12995040	+
gene-SPTLC3	rna-XM_054323613.1	mRNA	13048742	13212448	+
gene-SPTLC3	rna-NM_018327.4	mRNA	13052386	13212448	+
gene-SPTLC3	rna-XM_054323614.1	mRNA	13052386	13207820	+
gene-SPTLC3	rna-XM_054323617.1	mRNA	13052386	13170067	+
gene-SPTLC3	rna-XM_054323616.1	mRNA	13123136	13212448	+
gene-TASP1	rna-NM_001323602.2	mRNA	13682348	13432812	-
gene-TASP1	rna-XM_054323648.1	mRNA	13682322	13432812	-
gene-TASP1	rna-XM_054323647.1	mRNA	13682316	13432812	-
gene-TASP1	rna-XM_054323656.1	mRNA	13682122	13432812	-
gene-TASP1	rna-XM_054323654.1	mRNA	13666930	13432812	-
gene-TASP1	rna-XM_054323655.1	mRNA	13660426	13432812	-
gene-TASP1	rna-XM_054323658.1	mRNA	13630754	13432812	-
gene-TASP1	rna-XM_054323652.1	mRNA	13682348	13478464	-
gene-TASP1	rna-XM_054323653.1	mRNA	13682348	13478468	-
gene-TASP1	rna-XM_054323649.1	mRNA	13682348	13500996	-
gene-TASP1	rna-XM_054323650.1	mRNA	13682348	13522428	-
gene-TASP1	rna-XM_054323657.1	mRNA	13682348	13577471	-
gene-TASP1	rna-XM_054323659.1	mRNA	13682348	13595308	-
gene-TASP1	rna-XM_054323660.1	mRNA	13682303	13595308	-
gene-ISM1	rna-XM_054323027.1	mRNA	13264580	13370087	+
gene-ISM1	rna-NM_080826.2	mRNA	13264580	13343995	+
gene-ISM1-AS1	rna-NR_040043.1	lnc_RNA	13282999	13280732	-
gene-LOC124904872	rna-XR_007089412.1	lnc_RNA	13381105	13398970	+
gene-ESF1	rna-NM_001276380.2	mRNA	13828637	13757728	-
gene-ESF1	rna-XM_054323490.1	mRNA	13828604	13757728	-
gene-NDUFAF5	rna-NM_001352407.2	mRNA	13828746	13865322	+
gene-NDUFAF5	rna-XM_054323980.1	mRNA	13828746	13852634	+
gene-NDUFAF5	rna-NM_001352408.2	mRNA	13828746	13847150	+
gene-NDUFAF5	rna-XM_054323983.1	mRNA	13830084	13865322	+
gene-NDUFAF5	rna-XM_054323984.1	mRNA	13830914	13865322	+
gene-SEL1L2	rna-NM_001271539.2	mRNA	14039865	13893056	-
gene-SEL1L2	rna-NM_001363752.2	mRNA	14044584	13893212	-
gene-SEL1L2	rna-XM_054324065.1	mRNA	14039865	13893212	-
gene-SEL1L2	rna-XM_054324072.1	mRNA	14012570	13893212	-
gene-SEL1L2	rna-XM_054324068.1	mRNA	13975499	13893212	-
gene-SEL1L2	rna-XM_054324073.1	mRNA	13971978	13893212	-
gene-SEL1L2	rna-XM_054324076.1	mRNA	13962920	13893212	-
gene-SEL1L2	rna-XM_054324079.1	mRNA	13930235	13893212	-
gene-SEL1L2	rna-XM_054324077.1	mRNA	14039865	13903123	-
gene-SEL1L2	rna-XM_054324078.1	mRNA	14039865	13908974	-
gene-MACROD2	rna-NM_001351661.2	mRNA	14044767	16102639	+
gene-MACROD2	rna-NM_001351664.2	mRNA	15247069	16102639	+
gene-MACROD2	rna-XM_054323019.1	mRNA	15912324	16102639	+
gene-FLRT3	rna-NM_013281.4	mRNA	14386754	14372129	-
gene-MACROD2-IT1	rna-NR_104193.2	lnc_RNA	14603537	14678177	+
gene-MACROD2-AS1	rna-NR_110318.1	lnc_RNA	14979242	14933963	-
gene-MACROD2-AS1	rna-NR_072988.2	lnc_RNA	14979242	14954661	-
gene-LOC613266	rna-NR_130924.1	lnc_RNA	16035456	15941928	-
gene-LOC613266	rna-NR_130925.1	lnc_RNA	15972893	15941928	-
gene-KIF16B	rna-XM_054323646.1	mRNA	16624560	16322634	-
gene-KIF16B	rna-XM_054323636.1	mRNA	16624560	16417794	-
gene-LOC105372541	rna-XR_007089413.1	lnc_RNA	16656622	16641009	-
gene-LOC105372542	rna-XR_007089414.1	lnc_RNA	16661638	16690703	+
gene-SNRPB2	rna-NM_003092.5	mRNA	16781146	16793685	+
gene-OTOR	rna-NM_020157.4	mRNA	16799478	16803286	+
gene-OTOR	rna-XM_054323723.1	mRNA	16799478	16801318	+
gene-LOC105372544	rna-XR_007089416.1	lnc_RNA	17173187	17247600	+
gene-LOC105372544	rna-XR_007089415.1	lnc_RNA	17173187	17203180	+
gene-LOC105372545	rna-XR_007089417.1	lnc_RNA	17268995	17267522	-
gene-PCSK2	rna-NM_001201528.2	mRNA	17276846	17535277	+
gene-PCSK2	rna-NM_002594.5	mRNA	17277777	17535277	+
gene-LOC105372546	rna-XR_007089418.1	lnc_RNA	17377571	17283213	-
gene-LOC105372546	rna-XR_007089419.1	lnc_RNA	17377571	17375658	-
gene-BFSP1	rna-XM_054323803.1	mRNA	17619877	17544578	-
gene-BFSP1	rna-NM_001278607.2	mRNA	17609495	17544578	-
gene-BFSP1	rna-NM_001424338.1	mRNA	17582045	17544578	-
gene-DSTN	rna-XM_054322872.1	mRNA	17616165	17660583	+
gene-DSTN	rna-NM_001011546.2	mRNA	17620732	17660583	+
gene-RRBP1	rna-NM_004587.3	mRNA	17733373	17664346	-
gene-BANF2	rna-NM_001159495.2	mRNA	17744825	17787012	+
gene-BANF2	rna-XM_054323026.1	mRNA	17751113	17787012	+
gene-LOC105372547	rna-XR_007089420.1	lnc_RNA	17750730	17748764	-
gene-LOC107985440	rna-XR_007089422.1	lnc_RNA	17901595	17864915	-
gene-LOC107985440	rna-XR_007089421.1	lnc_RNA	17883450	17864915	-
gene-LOC107985440	rna-XR_007089424.1	lnc_RNA	17884524	17866797	-
gene-LOC107985440	rna-XR_007089423.1	lnc_RNA	17884514	17866797	-
gene-LOC107985440	rna-XR_007089425.1	lnc_RNA	17883450	17866797	-
gene-LOC105372548	rna-XR_007089428.1	lnc_RNA	17923747	17933754	+
gene-LOC105372548	rna-XR_007089426.1	lnc_RNA	17923781	17933754	+
gene-LOC105372548	rna-XR_007089427.1	lnc_RNA	17923786	17933754	+
gene-SNX5	rna-NM_001282454.2	mRNA	18019916	17992738	-
gene-MGME1	rna-XM_054324216.1	mRNA	18019712	18042262	+
gene-MGME1	rna-XM_054324220.1	mRNA	18019735	18042262	+
gene-MGME1	rna-XM_054324214.1	mRNA	18019975	18042262	+
gene-MGME1	rna-XM_054324213.1	mRNA	18020072	18042262	+
gene-MGME1	rna-NM_001310338.2	mRNA	18020140	18042262	+
gene-OVOL2	rna-NM_001303462.1	mRNA	18110298	18075262	-
gene-OVOL2	rna-NM_021220.4	mRNA	18109026	18075273	-
gene-KAT14	rna-NM_001392075.1	mRNA	18188022	18238896	+
gene-KAT14	rna-NM_001392072.1	mRNA	18188416	18238896	+
gene-KAT14	rna-NM_001384192.3	mRNA	18188732	18238896	+
gene-KAT14	rna-NM_001392070.1	mRNA	18188940	18238896	+
gene-PET117	rna-NM_001164811.2	mRNA	18188732	18194025	+
gene-LOC124904876	rna-XR_007089433.1	lnc_RNA	18319127	18331186	+
gene-LOC124904876	rna-XR_007089434.1	lnc_RNA	18319127	18330892	+
gene-LOC105372551	rna-XR_007089429.1	lnc_RNA	18322261	18321724	-
gene-ZNF133	rna-NM_001387299.1	mRNA	18339616	18368083	+
gene-ZNF133-AS1	rna-NR_187569.1	lnc_RNA	18410379	18362446	-
gene-LOC107985418	rna-XR_007089435.1	lnc_RNA	18410404	18413995	+
gene-LINC00851	rna-NR_034167.1	lnc_RNA	18430155	18432592	+
gene-DZANK1	rna-NM_001367617.1	mRNA	18518129	18434463	-
gene-DZANK1	rna-XM_054323601.1	mRNA	18518082	18434463	-
gene-DZANK1	rna-XM_054323604.1	mRNA	18504912	18434463	-
gene-DZANK1	rna-XM_054323605.1	mRNA	18494017	18434463	-
gene-DZANK1	rna-XM_054323606.1	mRNA	18484028	18434463	-
gene-DZANK1	rna-XM_054323607.1	mRNA	18518129	18472781	-
gene-POLR3F	rna-NM_001282526.2	mRNA	18518489	18535745	+
gene-POLR3F	rna-XM_054322851.1	mRNA	18518489	18532855	+
gene-POLR3F	rna-XM_054322852.1	mRNA	18520043	18535745	+
gene-RBBP9	rna-NM_006606.3	mRNA	18548350	18537659	-
gene-SEC23B	rna-NM_032986.5	mRNA	18558601	18612484	+
gene-SEC23B	rna-NM_001172745.3	mRNA	18558993	18612484	+
gene-SMIM26	rna-NM_001348958.2	mRNA	18618487	18620663	+
gene-SMIM26	rna-NM_001348957.2	mRNA	18618487	18620614	+
gene-LOC124904878	rna-XR_007089436.1	lnc_RNA	18638519	18630667	-
gene-DTD1	rna-NM_080820.6	mRNA	18639108	18818509	+
gene-DTD1	rna-NM_001318043.2	mRNA	18639108	18683739	+
gene-DTD1	rna-XM_054324224.1	mRNA	18639805	18683739	+
gene-DTD1-AS1	rna-NR_109955.1	lnc_RNA	18750537	18725424	-
gene-LINC00652	rna-NR_026883.1	lnc_RNA	18846423	18839823	-
gene-LINC00652	rna-NR_026884.1	lnc_RNA	18845821	18839823	-
gene-LCDR	rna-NR_026885.1	lnc_RNA	18845888	18847904	+
gene-SCP2D1-AS1	rna-NR_161343.1	lnc_RNA	18882032	18861189	-
gene-SCP2D1	rna-NM_178483.3	mRNA	18865624	18866219	+
gene-LOC102724734	rna-XR_007089439.1	lnc_RNA	19096639	19102595	+
gene-LOC102724734	rna-XR_007089437.1	lnc_RNA	19099729	19102595	+
gene-LOC102724734	rna-XR_007089438.1	lnc_RNA	19099822	19102614	+
gene-LOC102724734	rna-XR_007089440.1	lnc_RNA	19100343	19102595	+
gene-LOC107985442	rna-XR_007089441.1	lnc_RNA	19105373	19099907	-
gene-LOC101929547	rna-XR_007089443.1	lnc_RNA	19263984	19260511	-
gene-LOC101929547	rna-XR_007089445.1	lnc_RNA	19263629	19260511	-
gene-LOC101929547	rna-XR_007089446.1	lnc_RNA	19261998	19260511	-
gene-SLC24A3	rna-NM_020689.4	mRNA	19264158	19774967	+
gene-LOC124904879	rna-XR_007089448.1	lnc_RNA	19274783	19290658	+
gene-LOC124904879	rna-XR_007089447.1	lnc_RNA	19283879	19290658	+
gene-SLC24A3-AS1	rna-NR_024564.1	lnc_RNA	19336144	19293841	-
gene-LOC124908104	rna-XM_047446959.1	mRNA	19826745	19808420	-
gene-RIN2	rna-XM_054323534.1	mRNA	19809878	20056734	+
gene-RIN2	rna-XM_054323536.1	mRNA	19810294	20056734	+
gene-RIN2	rna-XM_054323540.1	mRNA	19937010	20056734	+
gene-RIN2	rna-NM_001242581.2	mRNA	19938649	20056734	+
gene-RIN2	rna-XM_054323543.1	mRNA	19940748	20032501	+
gene-RIN2	rna-XM_054323532.1	mRNA	19940767	20056734	+
gene-RIN2	rna-XM_054323537.1	mRNA	19988411	20056734	+
gene-RIN2	rna-XM_054323541.1	mRNA	19989385	20056734	+
gene-RIN2	rna-XM_054323542.1	mRNA	19989392	20056734	+
gene-NAA20	rna-NM_181528.3	mRNA	20071568	20087908	+
gene-NAA20	rna-NM_016100.5	mRNA	20071640	20087934	+
gene-NAA20	rna-NM_181527.3	mRNA	20072073	20087908	+
gene-CRNKL1	rna-NM_001278627.2	mRNA	20110325	20088647	-
gene-CRNKL1	rna-NM_001278628.2	mRNA	20106745	20088647	-
gene-CRNKL1	rna-XM_054323479.1	mRNA	20101931	20088647	-
gene-CFAP61	rna-NM_015585.4	mRNA	20106811	20419225	+
gene-CFAP61	rna-NM_001167816.1	mRNA	20110925	20226622	+
gene-LOC105372554	rna-XR_007089450.1	lnc_RNA	20286220	20287147	+
gene-CFAP61-AS1	rna-NR_183979.1	lnc_RNA	20322117	20308828	-
gene-INSM1	rna-NM_002196.3	mRNA	20426631	20429476	+
gene-RALGAPA2	rna-XM_054323751.1	mRNA	20771349	20448060	-
gene-RALGAPA2	rna-XM_054323754.1	mRNA	20674883	20448060	-
gene-RALGAPA2	rna-XM_054323752.1	mRNA	20674811	20448060	-
gene-RALGAPA2	rna-XM_054323753.1	mRNA	20663839	20448060	-
gene-RALGAPA2	rna-XM_054323755.1	mRNA	20663838	20448060	-
gene-RALGAPA2	rna-XM_054323750.1	mRNA	20771349	20482205	-
gene-RALGAPA2	rna-XM_054323746.1	mRNA	20771349	20521822	-
gene-RALGAPA2	rna-XM_054323749.1	mRNA	20771349	20547559	-
gene-RALGAPA2	rna-XM_054323756.1	mRNA	20771349	20630532	-
gene-LOC105372555	rna-XR_007089452.1	lnc_RNA	20787965	20808332	+
gene-LOC105372555	rna-XR_007089451.1	lnc_RNA	20802351	20808332	+
gene-LINC03083	rna-NR_186504.1	lnc_RNA	21029923	21032033	+
gene-LINC00237	rna-NR_147212.1	lnc_RNA	21165812	21147057	-
gene-KIZ	rna-NM_001276389.2	mRNA	21186758	21305969	+
gene-KIZ	rna-NM_001352436.2	mRNA	21186866	21305969	+
gene-KIZ	rna-XM_054323691.1	mRNA	21201995	21305969	+
gene-KIZ-AS1	rna-NR_109956.1	lnc_RNA	21277626	21253745	-
gene-XRN2	rna-NM_012255.5	mRNA	21362697	21446482	+
gene-XRN2	rna-NM_001317960.1	mRNA	21362864	21446482	+
gene-XRN2	rna-XM_054323194.1	mRNA	21362864	21402562	+
gene-XRN2	rna-XM_054323193.1	mRNA	21363514	21446482	+
gene-NKX2-4	rna-NM_033176.2	mRNA	21454183	21452022	-
gene-LOC105372558	rna-XR_007089461.1	lnc_RNA	21453520	21459311	+
gene-LOC105372558	rna-XR_007089462.1	lnc_RNA	21454154	21459311	+
gene-LOC105372558	rna-XR_007089457.1	lnc_RNA	21454345	21459311	+
gene-LOC105372558	rna-XR_007089458.1	lnc_RNA	21454591	21498109	+
gene-LOC105372558	rna-XR_007089460.1	lnc_RNA	21454591	21463719	+
gene-LOC105372558	rna-XR_007089453.1	lnc_RNA	21454591	21463146	+
gene-LOC105372558	rna-XR_007089456.1	lnc_RNA	21454591	21459311	+
gene-LOC105372558	rna-XR_007089463.1	lnc_RNA	21454591	21455908	+
gene-LOC112268271	rna-NR_171652.1	lnc_RNA	21563048	21555908	-
gene-NKX2-2	rna-NM_001424412.1	mRNA	21579328	21567656	-
gene-NKX2-2	rna-XM_054323457.1	mRNA	21578457	21567656	-
gene-NKX2-2	rna-NM_002509.4	mRNA	21570703	21567656	-
gene-NKX2-2	rna-NM_001424411.1	mRNA	21569599	21567656	-
gene-BETALINC1	rna-XR_007089464.1	lnc_RNA	21586753	21592664	+
gene-LINC01727	rna-NR_109880.1	lnc_RNA	21626668	21672409	+
gene-LINC01726	rna-NR_109878.1	lnc_RNA	21760275	21667468	-
gene-PAX1	rna-NM_001257096.2	mRNA	21762356	21775173	+
gene-LINC01432	rna-NR_038394.1	lnc_RNA	22111149	22131718	+
gene-LOC105372560	rna-XR_007089465.1	lnc_RNA	22274601	22281119	+
gene-LOC105372561	rna-XR_007089317.1	lnc_RNA	22332105	22318143	-
gene-LOC105372561	rna-XR_007089318.1	lnc_RNA	22322727	22318143	-
gene-LINC01427	rna-NR_110615.1	lnc_RNA	22340364	22337791	-
gene-LOC284788	rna-NR_027090.1	lnc_RNA	22478212	22457881	-
gene-LOC284788	rna-NR_027089.2	lnc_RNA	22478212	22457899	-
gene-LOC105372562	rna-XR_007089470.1	lnc_RNA	22524822	22506135	-
gene-LOC105372563	rna-XR_007089472.1	lnc_RNA	22529116	22525604	-
gene-LOC105372563	rna-XR_007089471.1	lnc_RNA	22528941	22525604	-
gene-LOC105372564	rna-XR_007089320.1	lnc_RNA	22583639	22569528	-
gene-LOC105372564	rna-XR_007089322.1	lnc_RNA	22583639	22569532	-
gene-LOC105372564	rna-XR_007089321.1	lnc_RNA	22583671	22573377	-
gene-LOC105372564	rna-XR_007089319.1	lnc_RNA	22583639	22573377	-
gene-LINC00261	rna-NR_001558.3	lnc_RNA	22638010	22619924	-
gene-FOXA2	rna-NM_153675.3	mRNA	22644858	22640366	-
gene-FOXA2	rna-NM_021784.5	mRNA	22643940	22640366	-
gene-LNCNEF	rna-NR_109883.1	lnc_RNA	22666886	22646890	-
gene-LINC01747	rna-NR_146527.1	lnc_RNA	22744641	22726589	-
gene-LINC01747	rna-NR_146528.1	lnc_RNA	22744641	22742959	-
gene-LOC124904962	rna-XM_047447001.1	mRNA	22803952	22806224	+
gene-LOC105372567	rna-XR_007089388.1	lnc_RNA	22832113	22833519	+
gene-LOC105372568	rna-XR_007089389.1	lnc_RNA	22865077	22883689	+
gene-LOC107985449	rna-XR_007089858.1	lnc_RNA	22976096	23033693	+
gene-LOC101929707	rna-XR_007089889.1	lnc_RNA	23090269	23055189	-
gene-LOC101929707	rna-XR_007089887.1	lnc_RNA	23079925	23055189	-
gene-LOC101929707	rna-XR_007089883.1	lnc_RNA	23070207	23055189	-
gene-LOC101929707	rna-XR_007089882.1	lnc_RNA	23090269	23057863	-
gene-LOC101929707	rna-XR_007089891.1	lnc_RNA	23090269	23070253	-
gene-LOC101929707	rna-XR_007089892.1	lnc_RNA	23090269	23074411	-
gene-LOC101929707	rna-XR_007089893.1	lnc_RNA	23090269	23081488	-
gene-LOC101929707	rna-XR_007089894.1	lnc_RNA	23090269	23082782	-
gene-LOC124908100	rna-XR_007089385.1	lnc_RNA	23090369	23092685	+
gene-SSTR4	rna-NM_001052.4	mRNA	23094792	23098717	+
gene-THBD	rna-NM_000361.3	mRNA	23109152	23105113	-
gene-CD93	rna-NM_012072.4	mRNA	23145800	23138842	-
gene-LINC00656	rna-NR_034149.1	lnc_RNA	23191838	23184268	-
gene-LOC100505664	rna-XR_007089871.1	lnc_RNA	23219031	23249698	+
gene-LOC100505664	rna-XR_007089876.1	lnc_RNA	23239493	23249698	+
gene-LOC100505664	rna-XR_007089877.1	lnc_RNA	23239495	23249698	+
gene-LOC100505664	rna-XR_007089878.1	lnc_RNA	23239512	23249698	+
gene-LOC100505664	rna-XR_007089868.1	lnc_RNA	23239517	23249698	+
gene-NXT1-AS1	rna-XR_007089785.1	lnc_RNA	23411005	23368981	-
gene-LOC105372571	rna-XR_007089783.1	lnc_RNA	23394876	23380497	-
gene-LOC105372571	rna-XR_007089784.1	lnc_RNA	23393167	23380536	-
gene-NXT1	rna-NM_013248.3	mRNA	23410332	23414312	+
gene-LINC01431	rna-NR_109884.1	lnc_RNA	23417666	23416133	-
gene-GZF1	rna-XM_054323854.1	mRNA	23420666	23432601	+
gene-GZF1	rna-XM_054323848.1	mRNA	23420670	23432601	+
gene-GZF1	rna-XM_054323858.1	mRNA	23421511	23432601	+
gene-GZF1	rna-XM_054323850.1	mRNA	23421520	23432601	+
gene-GZF1	rna-XM_054323855.1	mRNA	23421527	23432601	+
gene-GZF1	rna-NM_001317012.2	mRNA	23421721	23432601	+
gene-GZF1	rna-XM_054323859.1	mRNA	23421721	23428468	+
gene-GZF1	rna-XM_054323853.1	mRNA	23421962	23432601	+
gene-GZF1	rna-XM_054323852.1	mRNA	23421969	23432601	+
gene-GZF1	rna-XM_054323849.1	mRNA	23421973	23432601	+
gene-GZF1	rna-XM_054323857.1	mRNA	23422760	23432601	+
gene-GZF1	rna-NM_001317019.1	mRNA	23423902	23432601	+
gene-NAPB	rna-NM_001283020.2	mRNA	23481032	23434061	-
gene-NAPB	rna-XM_054323807.1	mRNA	23456745	23434061	-
gene-NAPB	rna-XM_054323806.1	mRNA	23456690	23434061	-
gene-NAPB	rna-XM_054323805.1	mRNA	23456688	23434061	-
gene-NAPB	rna-XM_054323809.1	mRNA	23481032	23454777	-
gene-CSTL1	rna-XM_054322968.1	mRNA	23499203	23520743	+
gene-CSTL1	rna-NM_138283.1	mRNA	23499218	23504463	+
gene-CST11	rna-NM_080830.3	mRNA	23512410	23509943	-
gene-CST8	rna-XM_054322816.1	mRNA	23550641	23563829	+
gene-CST8	rna-XM_054322819.1	mRNA	23550679	23566684	+
gene-CST8	rna-XM_054322815.1	mRNA	23550679	23563829	+
gene-CST8	rna-XM_054322818.1	mRNA	23550679	23558814	+
gene-CST8	rna-NM_005492.4	mRNA	23550679	23555571	+
gene-CST9L	rna-NM_080610.3	mRNA	23628018	23624265	-
gene-CST9	rna-NM_001008693.3	mRNA	23665495	23661988	-
gene-CST3	rna-NM_001288614.2	mRNA	23697530	23686281	-
gene-CST3	rna-NM_000099.4	mRNA	23697530	23693232	-
gene-LOC107985383	rna-XR_007089786.1	lnc_RNA	23720621	23734438	+
gene-CST4	rna-NM_001899.3	mRNA	23748593	23745195	-
gene-LOC105372574	rna-XR_007089787.1	lnc_RNA	23782110	23790498	+
gene-CST1	rna-NM_001898.3	mRNA	23810498	23807125	-
gene-LOC107985432	rna-XR_007089788.1	lnc_RNA	23863408	23865664	+
gene-LOC105372575	rna-XR_007089789.1	lnc_RNA	23870351	23880786	+
gene-CST2	rna-NM_001322.3	mRNA	23886420	23883460	-
gene-CST5	rna-NM_001900.5	mRNA	23939468	23935654	-
gene-GGTLC1	rna-XM_054324210.1	mRNA	24050101	24044913	-
gene-GGTLC1	rna-XM_054324211.1	mRNA	24049852	24044913	-
gene-GGTLC1	rna-XM_054324212.1	mRNA	24049845	24044913	-
gene-GGTLC1	rna-NM_178312.3	mRNA	24046735	24044913	-
gene-WAKMAR1	rna-XR_007089814.1	lnc_RNA	24173977	24153298	-
gene-WAKMAR1	rna-XR_007089813.1	lnc_RNA	24173976	24154027	-
gene-LINC01721	rna-NR_040102.1	lnc_RNA	24261447	24286212	+
gene-LOC105372577	rna-XR_007089821.1	lnc_RNA	24413054	24369883	-
gene-LOC105372577	rna-XR_007089815.1	lnc_RNA	24379708	24369883	-
gene-LOC105372577	rna-XR_007089818.1	lnc_RNA	24379704	24369883	-
gene-LOC105372577	rna-XR_007089820.1	lnc_RNA	24379731	24371559	-
gene-LOC105372577	rna-XR_007089822.1	lnc_RNA	24379708	24371559	-
gene-LOC105372577	rna-XR_007089819.1	lnc_RNA	24379704	24371559	-
gene-SYNDIG1	rna-NM_001323606.2	mRNA	24531609	24729658	+
gene-SYNDIG1	rna-XM_054324030.1	mRNA	24531609	24726109	+
gene-SYNDIG1	rna-XM_054324031.1	mRNA	24531609	24724041	+
gene-SYNDIG1	rna-XM_054324032.1	mRNA	24531609	24709477	+
gene-SYNDIG1	rna-XM_054324017.1	mRNA	24531609	24697408	+
gene-SYNDIG1	rna-XM_054324033.1	mRNA	24531609	24613376	+
gene-SYNDIG1	rna-XM_054324027.1	mRNA	24531853	24729658	+
gene-SYNDIG1	rna-XM_054324024.1	mRNA	24531853	24697408	+
gene-SYNDIG1	rna-XM_054324034.1	mRNA	24531853	24613376	+
gene-SYNDIG1	rna-XM_054324029.1	mRNA	24531903	24729658	+
gene-SYNDIG1	rna-XM_054324023.1	mRNA	24531905	24697408	+
gene-SYNDIG1	rna-XM_054324025.1	mRNA	24550646	24697408	+
gene-SYNDIG1	rna-XM_054324028.1	mRNA	24550652	24729658	+
gene-LOC107985402	rna-XR_007089823.1	lnc_RNA	24886720	24881849	-
gene-LINC02967	rna-XR_007089824.1	lnc_RNA	24982691	24997099	+
gene-LINC02967	rna-XR_007089825.1	lnc_RNA	24993332	24997099	+
gene-CST7	rna-NM_003650.4	mRNA	25013381	25024200	+
gene-APMAP	rna-XM_054323725.1	mRNA	25056964	25027195	-
gene-ACSS1	rna-XM_054324142.1	mRNA	25122323	25070420	-
gene-ACSS1	rna-NM_001252676.2	mRNA	25096889	25070420	-
gene-ACSS1	rna-XM_054324143.1	mRNA	25095141	25070420	-
gene-ACSS1	rna-XM_054324141.1	mRNA	25122323	25073455	-
gene-VSX1	rna-XM_054323401.1	mRNA	25146757	25127146	-
gene-VSX1	rna-NM_001256271.2	mRNA	25146757	25135496	-
gene-VSX1	rna-NM_014588.6	mRNA	25146757	25140079	-
gene-VSX1	rna-NM_001378633.1	mRNA	25142668	25140079	-
gene-VSX1	rna-NM_199425.3	mRNA	25146757	25143159	-
gene-LOC284798	rna-NR_027091.1	lnc_RNA	25213384	25205392	-
gene-LOC284798	rna-NR_027092.1	lnc_RNA	25213319	25205392	-
gene-LOC284798	rna-NR_027093.1	lnc_RNA	25212587	25205392	-
gene-LOC101926889	rna-NR_109994.1	lnc_RNA	25261474	25249255	-
gene-ENTPD6	rna-XM_054324234.1	mRNA	25260295	25293059	+
gene-ENTPD6	rna-XM_054324239.1	mRNA	25260295	25289073	+
